Equipo,Equipo,COMPUTADORA HP DC7600 P4 3.2 GHZ 512 MB CD-ROM WIN XP,,,,,
Transporte,Transporte,"AIRE ACONDICIONADO  ,TRANSMISION AUTOMATICA 12 PASAJEROS",,,,,
Equipo,Equipo,DVD-RW,,,,,
Equipo,Equipo,REGULADOR SOLA MICRO SEA 1600,,,,,
Mobiliario,Mobiliario,MESA LARGA 1.83*.76*.75,,,,,
Equipo,Equipo,MEMORIA KINGNSTON 512 MB INTERNO (INSTALADO EN EL EQUIPO CON N/S:MXJ5150028),,,,,
Mobiliario,Mobiliario,MUEBLE DE BAÑO,,,,,
Mobiliario,Mobiliario,SILLA TAPIZ NEGRO,,,,,
Equipo,Equipo,COMPUTADORA LAP TOP,,,,,
Equipo,Equipo,DE C02 DE 4.5 KG,,,,,
Equipo,Equipo,DE GUSANO,,,,,
Equipo,Equipo,"COMPUTADORA PORTATIL SATELITE PRO CENTRINO 1.3GHZ 512MB, 40GB, 14.1 PULGADAS, WIN XP PRO.",,,,,
Mobiliario,Mobiliario,RESPALDO BAJO,,,,,
Mobiliario,Mobiliario,DE TRABAJO MECANISMO DE AJUSTE EN RESPALDO Y ASIENTO BASE ESTRELLA 5 PUNTOS TAPIZADA EN TELA IMPORTA,,,,,
Equipo,Equipo,SACAPUNTAS ELECTICO,,,,,
Mobiliario,Mobiliario,ESTENSION PUENTE EJECUTIVO PARA ESCRITORIO DE CREDENZA DE 1.10 X 50 CMS EN MADERA POLIESTER CAOBA MO,,,,,
Equipo,Equipo,MOTOBOMBA CAUDAL PARA DISTRIBUCION DE AGUA.,,,,,
Equipo,Equipo,"COLOR AUTO IRIS LENTE 3.6 MM INFRA ROJO, VISION NOCTURNA",,,,,
Equipo,Equipo,ESCRITORIO EN COLOR GRIS,,,,,
Mobiliario,Mobiliario,MESA DE JUNTAS REDONDA DE 1.20 MTS DE DIAMETRO LINEA HONN ACABADOS EN LAMINADO PLASTICO,,,,,
Mobiliario,Mobiliario,ARCHIVERO DE DE MADERA CON 3 GAVETAS,,,,,
Equipo,Equipo,VIDEO CASSETERA SONY,,,,,
Equipo,Equipo,"NEGRO-PLATA, 17""",,,,,
